,Pollster,State,Date,MoE,Obama (D),Romney (R),Sample,Spread,obama_spread,start_date,end_date
0,Rasmussen Reports,WA,9/26 - 9/26,4.5,52.0,41.0,500.0,Obama +11,11.0,9/26/2012,9/26/2012
1,Gravis Marketing,WA,9/21 - 9/22,4.6,56.0,39.0,625.0,Obama +17,17.0,9/21/2012,9/22/2012
2,Elway Poll,WA,9/9 - 9/12,5.0,53.0,36.0,405.0,Obama +17,17.0,9/9/2012,9/12/2012
3,SurveyUSA,WA,9/7 - 9/9,4.4,54.0,38.0,524.0,Obama +16,16.0,9/7/2012,9/9/2012
4,SurveyUSA,WA,8/1 - 8/2,4.4,54.0,37.0,524.0,Obama +17,17.0,8/1/2012,8/2/2012
5,SurveyUSA,WA,7/16 - 7/18,4.0,46.0,37.0,630.0,Obama +9,9.0,7/16/2012,7/18/2012
6,PPP (D),WA,6/14 - 6/17,3.0,54.0,41.0,1073.0,Obama +13,13.0,6/14/2012,6/17/2012
7,Elway Poll,WA,6/13 - 6/16,5.0,49.0,41.0,408.0,Obama +8,8.0,6/13/2012,6/16/2012
8,Strategies 360 (D),WA,5/22 - 5/24,4.4,51.0,40.0,500.0,Obama +11,11.0,5/22/2012,5/24/2012
9,SurveyUSA,WA,5/8 - 5/9,4.2,50.0,36.0,557.0,Obama +14,14.0,5/8/2012,5/9/2012
10,PPP (D),WA,2/16 - 2/19,2.8,53.0,38.0,1264.0,Obama +15,15.0,2/16/2012,2/19/2012
11,SurveyUSA,WA,2/13 - 2/15,4.2,50.0,39.0,572.0,Obama +11,11.0,2/13/2012,2/15/2012
12,Elway Poll,WA,2/7 - 2/9,5.0,49.0,38.0,405.0,Obama +11,11.0,2/7/2012,2/9/2012
13,SurveyUSA,WA,11/21 - 11/23,4.3,49.0,41.0,549.0,Obama +8,8.0,11/21/2011,11/23/2011
15,Strategies 360 (D),WA,9/11 - 9/14,4.4,49.0,40.0,500.0,Obama +9,9.0,9/11/2011,9/14/2011
16,PPP (D),WA,5/12 - 5/15,3.0,51.0,40.0,1098.0,Obama +11,11.0,5/12/2011,5/15/2011
17,WeAskAmerica,WI,9/20 - 9/23,2.8,53.0,41.0,1238.0,Obama +12,12.0,9/20/2012,9/23/2012
18,PPP (D),WI,9/18 - 9/19,3.4,52.0,45.0,842.0,Obama +7,7.0,9/18/2012,9/19/2012
19,Rasmussen Reports,WI,9/17 - 9/17,4.5,49.0,46.0,500.0,Obama +3,3.0,9/17/2012,9/17/2012
20,NBC/WSJ/Marist,WI,9/16 - 9/18,3.2,50.0,45.0,968.0,Obama +5,5.0,9/16/2012,9/18/2012
21,Marquette University,WI,9/13 - 9/16,4.1,54.0,40.0,601.0,Obama +14,14.0,9/13/2012,9/16/2012
22,CBS/NYT/Quinnipiac,WI,9/11 - 9/17,3.0,51.0,45.0,1485.0,Obama +6,6.0,9/11/2012,9/17/2012
23,CBS/NYT/Quinnipiac,WI,8/15 - 8/21,3.0,49.0,47.0,1190.0,Obama +2,2.0,8/15/2012,8/21/2012
24,Marquette University,WI,8/16 - 8/19,4.2,49.0,46.0,576.0,Obama +3,3.0,8/16/2012,8/19/2012
25,PPP (D),WI,8/16 - 8/19,2.7,47.0,48.0,1308.0,Romney +1,-1.0,8/16/2012,8/19/2012
26,Rasmussen Reports,WI,8/15 - 8/15,4.5,47.0,48.0,500.0,Romney +1,-1.0,8/15/2012,8/15/2012
27,CNN/Opinion Research,WI,8/13 - 8/14,3.0,49.0,45.0,920.0,Obama +4,4.0,8/13/2012,8/14/2012
28,CBS/NYT/Quinnipiac,WI,7/31 - 8/6,3.0,51.0,45.0,1428.0,Obama +6,6.0,7/31/2012,8/6/2012
29,Marquette University,WI,8/2 - 8/5,2.9,50.0,45.0,1188.0,Obama +5,5.0,8/2/2012,8/5/2012
30,Rasmussen Reports,WI,7/25 - 7/25,4.5,49.0,46.0,500.0,Obama +3,3.0,7/25/2012,7/25/2012
31,WeAskAmerica,WI,7/17 - 7/18,2.9,49.0,42.0,1162.0,Obama +7,7.0,7/17/2012,7/18/2012
32,Marquette University,WI,7/5 - 7/8,3.5,51.0,43.0,810.0,Obama +8,8.0,7/5/2012,7/8/2012
33,PPP (D),WI,7/5 - 7/8,3.3,50.0,44.0,1057.0,Obama +6,6.0,7/5/2012,7/8/2012
34,Marquette University,WI,6/13 - 6/16,4.1,49.0,43.0,594.0,Obama +6,6.0,6/13/2012,6/16/2012
35,Rasmussen Reports,WI,6/12 - 6/12,4.5,44.0,47.0,500.0,Romney +3,-3.0,6/12/2012,6/12/2012
36,WeAskAmerica,WI,6/6 - 6/6,2.8,48.0,43.0,1270.0,Obama +5,5.0,6/6/2012,6/6/2012
37,Marquette University,WI,5/23 - 5/26,4.1,51.0,43.0,600.0,Obama +8,8.0,5/23/2012,5/26/2012
38,WPR/St. Norbert,WI,5/17 - 5/22,5.0,49.0,43.0,406.0,Obama +6,6.0,5/17/2012,5/22/2012
39,Daily Kos/PPP (D),WI,5/11 - 5/13,,47.0,46.0,,Obama +1,1.0,5/11/2012,5/13/2012
40,Marquette University,WI,5/9 - 5/12,4.1,46.0,46.0,600.0,Tie,0.0,5/9/2012,5/12/2012
41,Rasmussen Reports,WI,5/9 - 5/9,4.5,49.0,45.0,500.0,Obama +4,4.0,5/9/2012,5/9/2012
42,Marquette University,WI,4/26 - 4/29,3.8,51.0,42.0,705.0,Obama +9,9.0,4/26/2012,4/29/2012
43,Daily Kos/PPP (D),WI,4/13 - 4/15,2.9,50.0,44.0,1136.0,Obama +6,6.0,4/13/2012,4/15/2012
44,Rasmussen Reports,WI,3/27 - 3/27,4.5,52.0,41.0,500.0,Obama +11,11.0,3/27/2012,3/27/2012
45,NBC News/Marist,WI,3/26 - 3/27,2.6,52.0,35.0,1391.0,Obama +17,17.0,3/26/2012,3/27/2012
46,Marquette University,WI,3/22 - 3/25,3.8,48.0,43.0,707.0,Obama +5,5.0,3/22/2012,3/25/2012
47,Rasmussen Reports,WI,2/27 - 2/27,4.5,47.0,42.0,500.0,Obama +5,5.0,2/27/2012,2/27/2012
48,PPP (D),WI,2/23 - 2/26,3.3,53.0,39.0,900.0,Obama +14,14.0,2/23/2012,2/26/2012
49,Marquette University,WI,2/16 - 2/19,3.7,53.0,38.0,716.0,Obama +15,15.0,2/16/2012,2/19/2012
50,Marquette University,WI,1/19 - 1/22,3.8,48.0,40.0,701.0,Obama +8,8.0,1/19/2012,1/22/2012
51,Rasmussen Reports,WI,10/26 - 10/26,4.5,45.0,41.0,500.0,Obama +4,4.0,10/26/2011,10/26/2011
53,PPP (D),WI,10/20 - 10/23,2.9,46.0,43.0,1170.0,Obama +3,3.0,10/20/2011,10/23/2011
54,PPP (D),WI,8/19 - 8/21,3.4,47.0,42.0,830.0,Obama +5,5.0,8/19/2011,8/21/2011
55,PPP (D),WI,5/19 - 5/22,2.4,51.0,39.0,1636.0,Obama +12,12.0,5/19/2011,5/22/2011
56,PPP (D),WI,2/24 - 2/27,3.5,48.0,38.0,768.0,Obama +10,10.0,2/24/2011,2/27/2011
57,PPP (D),WI,12/10 - 12/12,3.7,46.0,42.0,702.0,Obama +4,4.0,12/10/2010,12/12/2010
58,PPP (D),WV,9/30 - 10/2,3.2,33.0,54.0,932.0,Romney +21,-21.0,9/30/2012,10/2/2012
59,PPP (D),WV,9/1 - 9/4,3.7,37.0,49.0,708.0,Romney +12,-12.0,9/1/2012,9/4/2012
60,PPP (D),WV,1/20 - 1/23,2.9,37.0,50.0,1105.0,Romney +13,-13.0,1/20/2012,1/23/2012
61,Suffolk/WSVN,FL,9/27 - 9/30,4.0,46.0,43.0,600.0,Obama +3,3.0,9/27/2012,9/30/2012
62,Gravis Marketing,FL,9/29 - 9/30,3.4,49.0,48.0,914.0,Obama +1,1.0,9/29/2012,9/30/2012
63,Florida Times-Union/InAdv,FL,9/24 - 9/24,4.1,49.0,46.0,540.0,Obama +3,3.0,9/24/2012,9/24/2012
64,PPP (D),FL,9/20 - 9/23,3.3,50.0,46.0,861.0,Obama +4,4.0,9/20/2012,9/23/2012
65,Washington Post,FL,9/19 - 9/23,4.5,51.0,47.0,769.0,Obama +4,4.0,9/19/2012,9/23/2012
66,ARG,FL,9/20 - 9/22,4.0,50.0,45.0,600.0,Obama +5,5.0,9/20/2012,9/22/2012
67,CBS/NYT/Quinnipiac,FL,9/18 - 9/24,3.0,53.0,44.0,1162.0,Obama +9,9.0,9/18/2012,9/24/2012
68,Miami Herald/Mason-Dixon,FL,9/17 - 9/19,3.5,48.0,47.0,800.0,Obama +1,1.0,9/17/2012,9/19/2012
69,Purple Strategies,FL,9/15 - 9/19,4.0,47.0,48.0,600.0,Romney +1,-1.0,9/15/2012,9/19/2012
70,WeAskAmerica,FL,9/18 - 9/18,2.8,49.0,46.0,1230.0,Obama +3,3.0,9/18/2012,9/18/2012
71,FOX News,FL,9/16 - 9/18,3.0,49.0,44.0,829.0,Obama +5,5.0,9/16/2012,9/18/2012
72,Gravis Marketing,FL,9/15 - 9/16,2.5,47.0,48.0,1728.0,Romney +1,-1.0,9/15/2012,9/16/2012
73,Rasmussen Reports,FL,9/12 - 9/12,4.5,48.0,46.0,500.0,Obama +2,2.0,9/12/2012,9/12/2012
74,Caddell/McLaughlin/SAN (R),FL,9/11 - 9/12,4.0,44.0,48.0,600.0,Romney +4,-4.0,9/11/2012,9/12/2012
75,NBC/WSJ/Marist,FL,9/9 - 9/11,3.1,49.0,44.0,980.0,Obama +5,5.0,9/9/2012,9/11/2012
76,AIF/McLaughlin (R),FL,9/9 - 9/10,4.0,47.0,50.0,600.0,Romney +3,-3.0,9/9/2012,9/10/2012
77,SurveyUSA,FL,9/7 - 9/9,4.1,48.0,44.0,596.0,Obama +4,4.0,9/7/2012,9/9/2012
78,Gravis Marketing,FL,9/2 - 9/2,2.7,47.0,48.0,1288.0,Romney +1,-1.0,9/2/2012,9/2/2012
79,PPP (D),FL,8/31 - 9/2,2.5,48.0,47.0,1548.0,Obama +1,1.0,8/31/2012,9/2/2012
80,CNN/Time,FL,8/22 - 8/26,3.0,50.0,46.0,776.0,Obama +4,4.0,8/22/2012,8/26/2012
81,Gravis Marketing,FL,8/20 - 8/20,3.8,46.0,50.0,728.0,Romney +4,-4.0,8/20/2012,8/20/2012
82,CBS/NYT/Quinnipiac,FL,8/15 - 8/21,3.0,49.0,46.0,1241.0,Obama +3,3.0,8/15/2012,8/21/2012
83,Rasmussen Reports,FL,8/15 - 8/15,4.5,43.0,45.0,500.0,Romney +2,-2.0,8/15/2012,8/15/2012
84,Purple Strategies,FL,8/13 - 8/14,4.0,47.0,48.0,600.0,Romney +1,-1.0,8/13/2012,8/14/2012
85,CBS/NYT/Quinnipiac,FL,7/24 - 7/30,3.0,51.0,45.0,1177.0,Obama +6,6.0,7/24/2012,7/30/2012
86,PPP (D),FL,7/26 - 7/29,3.3,48.0,47.0,871.0,Obama +1,1.0,7/26/2012,7/29/2012
87,SurveyUSA,FL,7/17 - 7/19,3.9,48.0,43.0,647.0,Obama +5,5.0,7/17/2012,7/19/2012
88,Purple Strategies,FL,7/9 - 7/13,4.0,45.0,48.0,600.0,Romney +3,-3.0,7/9/2012,7/13/2012
89,Mason-Dixon*,FL,7/9 - 7/11,3.5,46.0,45.0,800.0,Obama +1,1.0,7/9/2012,7/11/2012
90,Rasmussen Reports,FL,7/9 - 7/9,4.5,45.0,46.0,500.0,Romney +1,-1.0,7/9/2012,7/9/2012
91,WeAskAmerica,FL,7/1 - 7/2,2.9,46.0,45.0,1127.0,Obama +1,1.0,7/1/2012,7/2/2012
92,Quinnipiac,FL,6/19 - 6/25,2.8,45.0,41.0,1200.0,Obama +4,4.0,6/19/2012,6/25/2012
93,Quinnipiac,FL,6/12 - 6/18,2.4,46.0,42.0,1697.0,Obama +4,4.0,6/12/2012,6/18/2012
94,Purple Strategies,FL,5/31 - 6/5,4.0,45.0,49.0,600.0,Romney +4,-4.0,5/31/2012,6/5/2012
95,PPP (D),FL,5/31 - 6/3,3.9,50.0,46.0,642.0,Obama +4,4.0,5/31/2012,6/3/2012
96,NBC News/Marist,FL,5/17 - 5/20,3.0,48.0,44.0,1078.0,Obama +4,4.0,5/17/2012,5/20/2012
97,Quinnipiac,FL,5/15 - 5/21,2.4,41.0,47.0,1722.0,Romney +6,-6.0,5/15/2012,5/21/2012
98,Suffolk/WSVN,FL,5/6 - 5/8,4.0,46.0,45.0,600.0,Obama +1,1.0,5/6/2012,5/8/2012
99,Quinnipiac,FL,4/25 - 5/1,2.9,43.0,44.0,1169.0,Romney +1,-1.0,4/25/2012,5/1/2012
100,Rasmussen Reports,FL,4/25 - 4/25,4.5,45.0,46.0,500.0,Romney +1,-1.0,4/25/2012,4/25/2012
101,Purple Strategies,FL,4/19 - 4/23,4.1,44.0,47.0,600.0,Romney +3,-3.0,4/19/2012,4/23/2012
102,FOX News,FL,4/15 - 4/17,4.0,45.0,43.0,757.0,Obama +2,2.0,4/15/2012,4/17/2012
103,PPP (D),FL,4/12 - 4/15,3.7,50.0,45.0,700.0,Obama +5,5.0,4/12/2012,4/15/2012
104,Quinnipiac,FL,3/20 - 3/26,2.8,49.0,42.0,1228.0,Obama +7,7.0,3/20/2012,3/26/2012
105,Rasmussen Reports,FL,3/13 - 3/13,4.5,46.0,43.0,500.0,Obama +3,3.0,3/13/2012,3/13/2012
106,Rasmussen Reports,FL,2/9 - 2/9,4.5,47.0,44.0,500.0,Obama +3,3.0,2/9/2012,2/9/2012
107,NBC News/Marist,FL,1/25 - 1/27,2.6,49.0,41.0,1379.0,Obama +8,8.0,1/25/2012,1/27/2012
108,Miami Herald/Mason-Dixon,FL,1/24 - 1/26,3.5,44.0,48.0,800.0,Romney +4,-4.0,1/24/2012,1/26/2012
109,Suffolk/WSVN,FL,1/22 - 1/24,4.0,42.0,47.0,600.0,Romney +5,-5.0,1/22/2012,1/24/2012
110,Quinnipiac,FL,1/19 - 1/23,2.5,45.0,45.0,1518.0,Tie,0.0,1/19/2012,1/23/2012
111,Quinnipiac,FL,1/4 - 1/8,2.6,43.0,46.0,1412.0,Romney +3,-3.0,1/4/2012,1/8/2012
112,NBC News/Marist,FL,12/4 - 12/7,2.1,48.0,41.0,2119.0,Obama +7,7.0,12/4/2011,12/7/2011
113,Quinnipiac,FL,11/28 - 12/5,2.8,42.0,45.0,1226.0,Romney +3,-3.0,11/28/2011,12/5/2011
114,PPP (D),FL,11/28 - 12/1,3.7,45.0,44.0,700.0,Obama +1,1.0,11/28/2011,12/1/2011
115,Rasmussen Reports,FL,11/17 - 11/17,4.5,42.0,46.0,500.0,Romney +4,-4.0,11/17/2011,11/17/2011
116,Quinnipiac,FL,10/31 - 11/7,2.9,42.0,45.0,1185.0,Romney +3,-3.0,10/31/2011,11/7/2011
118,NBC News/Marist,FL,10/10 - 10/12,2.1,45.0,43.0,2225.0,Obama +2,2.0,10/10/2011,10/12/2011
119,PPP (D),FL,9/22 - 9/25,4.5,46.0,45.0,476.0,Obama +1,1.0,9/22/2011,9/25/2011
120,Quinnipiac,FL,9/14 - 9/19,3.1,40.0,47.0,1007.0,Romney +7,-7.0,9/14/2011,9/19/2011
121,Mason-Dixon,FL,8/18 - 8/22,4.0,43.0,51.0,625.0,Romney +8,-8.0,8/18/2012,8/22/2012
122,Magellan Strategies (R),FL,8/16 - 8/18,3.6,39.0,49.0,723.0,Romney +10,-10.0,8/16/2012,8/18/2012
123,AIF/McLaughlin (R),FL,8/8 - 8/9,4.0,44.0,45.0,600.0,Romney +1,-1.0,8/8/2012,8/9/2012
124,Quinnipiac,FL,8/1 - 8/2,3.6,44.0,44.0,743.0,Tie,0.0,8/1/2011,8/2/2011
125,Quinnipiac,FL,7/27 - 7/31,3.8,46.0,41.0,674.0,Obama +5,5.0,7/27/2011,7/31/2011
126,Sunshine State News/VSS,FL,7/5 - 7/7,3.1,42.0,46.0,1000.0,Romney +4,-4.0,7/5/2012,7/7/2012
127,PPP (D),FL,6/16 - 6/19,3.4,47.0,43.0,848.0,Obama +4,4.0,6/16/2011,6/19/2011
128,Suffolk University,FL,4/10 - 4/12,4.0,42.0,43.0,600.0,Romney +1,-1.0,4/10/2012,4/12/2012
129,Mason-Dixon,FL,4/4 - 4/7,3.5,43.0,48.0,800.0,Romney +5,-5.0,4/4/2012,4/7/2012
130,PPP (D),FL,3/24 - 3/27,4.4,46.0,44.0,500.0,Obama +2,2.0,3/24/2011,3/27/2011
131,PPP (D),FL,12/17 - 12/20,3.0,46.0,44.0,1034.0,Obama +2,2.0,12/17/2010,12/20/2010
132,WMUR/UNH,NH,9/27 - 9/30,4.0,54.0,39.0,600.0,Obama +15,15.0,9/27/2012,9/30/2012
133,ARG,NH,9/25 - 9/27,4.0,50.0,45.0,600.0,Obama +5,5.0,9/25/2012,9/27/2012
134,NBC/WSJ/Marist,NH,9/23 - 9/25,3.1,51.0,44.0,1012.0,Obama +7,7.0,9/23/2012,9/25/2012
135,Rasmussen Reports,NH,9/18 - 9/18,4.5,45.0,48.0,500.0,Romney +3,-3.0,9/18/2012,9/18/2012
136,ARG,NH,9/15 - 9/17,4.5,48.0,47.0,463.0,Obama +1,1.0,9/15/2012,9/17/2012
137,WMUR/UNH,NH,9/4 - 9/10,4.0,45.0,40.0,592.0,Obama +5,5.0,9/4/2012,9/10/2012
138,PPP (D),NH,8/9 - 8/12,3.0,51.0,45.0,1055.0,Obama +6,6.0,8/9/2012,8/12/2012
139,WMUR/UNH,NH,8/1 - 8/12,4.2,49.0,46.0,555.0,Obama +3,3.0,8/1/2012,8/12/2012
140,WMUR/UNH,NH,7/5 - 7/15,4.5,49.0,45.0,470.0,Obama +4,4.0,7/5/2012,7/15/2012
141,NBC News/Marist,NH,6/24 - 6/25,3.1,45.0,45.0,1029.0,Tie,0.0,6/24/2012,6/25/2012
142,ARG,NH,6/21 - 6/24,4.2,49.0,46.0,417.0,Obama +3,3.0,6/21/2012,6/24/2012
143,Rasmussen Reports,NH,6/20 - 6/20,4.5,48.0,43.0,500.0,Obama +5,5.0,6/20/2012,6/20/2012
144,PPP (D),NH,5/10 - 5/13,2.9,53.0,41.0,1163.0,Obama +12,12.0,5/10/2012,5/13/2012
145,WMUR/UNH,NH,4/9 - 4/20,4.4,51.0,42.0,486.0,Obama +9,9.0,4/9/2012,4/20/2012
146,Dartmouth,NH,4/2 - 4/5,4.9,42.0,44.0,403.0,Romney +2,-2.0,4/2/2012,4/5/2012
147,ARG,NH,3/15 - 3/18,4.2,48.0,41.0,557.0,Obama +7,7.0,3/15/2012,3/18/2012
148,WMUR/UNH,NH,1/25 - 2/2,4.4,50.0,40.0,495.0,Obama +10,10.0,1/25/2012,2/2/2012
149,NBC News/Marist,NH,11/28 - 11/30,2.9,43.0,46.0,1116.0,Romney +3,-3.0,11/28/2011,11/30/2011
150,WMUR/UNH,NH,11/15 - 11/20,4.0,44.0,47.0,606.0,Romney +3,-3.0,11/15/2011,11/20/2011
151,Bloomberg News,NH,11/10 - 11/11,5.5,40.0,50.0,324.0,Romney +10,-10.0,11/10/2011,11/11/2011
152,NBC News/Marist,NH,10/3 - 10/5,2.1,40.0,49.0,2218.0,Romney +9,-9.0,10/3/2011,10/5/2011
154,WMUR/UNH,NH,9/26 - 10/6,4.1,42.0,50.0,559.0,Romney +8,-8.0,9/26/2011,10/6/2011
155,PPP (D),NH,6/30 - 7/5,3.8,44.0,46.0,662.0,Romney +2,-2.0,6/30/2011,7/5/2011
156,WMUR/UNH,NH,6/21 - 7/1,3.5,43.0,47.0,729.0,Romney +4,-4.0,6/21/2011,7/1/2011
157,WMUR/UNH,NH,4/15 - 4/26,4.4,43.0,50.0,471.0,Romney +7,-7.0,4/15/2011,4/26/2011
158,Dartmouth,NH,4/11 - 4/14,4.8,39.0,47.0,426.0,Romney +8,-8.0,4/11/2012,4/14/2012
159,PPP (D),NH,3/31 - 4/3,3.5,47.0,46.0,769.0,Obama +1,1.0,3/31/2011,4/3/2011
160,Magellan Strategies (R),NH,2/9 - 2/10,3.5,48.0,44.0,789.0,Obama +4,4.0,2/9/2012,2/10/2012
161,WMUR/UNH,NH,1/28 - 2/7,3.5,41.0,49.0,757.0,Romney +8,-8.0,1/28/2011,2/7/2011
162,Monmouth University,NJ,9/19 - 9/23,4.0,52.0,37.0,613.0,Obama +15,15.0,9/19/2012,9/23/2012
163,Philadelphia Inquirer,NJ,9/9 - 9/12,4.0,51.0,37.0,600.0,Obama +14,14.0,9/9/2012,9/12/2012
164,Fairleigh Dickinson,NJ,9/6 - 9/12,3.8,52.0,38.0,706.0,Obama +14,14.0,9/6/2012,9/12/2012
165,Quinnipiac,NJ,8/27 - 9/2,2.6,51.0,44.0,1471.0,Obama +7,7.0,8/27/2012,9/2/2012
166,Rutgers-Eagleton,NJ,8/23 - 8/25,3.5,51.0,37.0,710.0,Obama +14,14.0,8/23/2012,8/25/2012
167,Fairleigh Dickinson,NJ,7/23 - 7/29,3.5,49.0,36.0,849.0,Obama +13,13.0,7/23/2012,7/29/2012
168,Monmouth University,NJ,7/18 - 7/22,4.2,50.0,42.0,535.0,Obama +8,8.0,7/18/2012,7/22/2012
169,Quinnipiac,NJ,7/9 - 7/15,2.4,49.0,38.0,1623.0,Obama +11,11.0,7/9/2012,7/15/2012
170,Rutgers-Eagleton,NJ,5/31 - 6/4,2.9,56.0,33.0,1065.0,Obama +23,23.0,5/31/2012,6/4/2012
171,Quinnipiac,NJ,5/9 - 5/14,2.5,49.0,39.0,1582.0,Obama +10,10.0,5/9/2012,5/14/2012
172,Quinnipiac,NJ,4/3 - 4/9,2.4,49.0,40.0,1607.0,Obama +9,9.0,4/3/2012,4/9/2012
173,Fairleigh Dickinson,NJ,3/5 - 3/11,3.5,50.0,37.0,800.0,Obama +13,13.0,3/5/2012,3/11/2012
174,SurveyUSA,NJ,2/24 - 2/26,4.3,52.0,38.0,533.0,Obama +14,14.0,2/24/2012,2/26/2012
175,Quinnipiac,NJ,2/21 - 2/27,2.6,49.0,39.0,1396.0,Obama +10,10.0,2/21/2012,2/27/2012
176,Quinnipiac,NJ,1/10 - 1/16,2.6,48.0,38.0,1460.0,Obama +10,10.0,1/10/2012,1/16/2012
177,Quinnipiac,NJ,11/9 - 11/14,2.3,49.0,40.0,1788.0,Obama +9,9.0,11/9/2011,11/14/2011
178,Quinnipiac,NJ,10/5 - 10/10,2.9,47.0,41.0,1186.0,Obama +6,6.0,10/5/2011,10/10/2011
179,PPP (D),NJ,7/15 - 7/18,4.5,53.0,39.0,480.0,Obama +14,14.0,7/15/2012,7/18/2012
180,Rasmussen Reports,NJ,5/26 - 5/26,4.5,49.0,43.0,500.0,Obama +6,6.0,5/26/2012,5/26/2012
181,PPP (D),NJ,1/6 - 1/9,4.3,52.0,37.0,520.0,Obama +15,15.0,1/6/2012,1/9/2012
182,Rasmussen Reports,NM,9/27 - 9/27,4.5,51.0,40.0,500.0,Obama +11,11.0,9/27/2012,9/27/2012
183,WeAskAmerica*,NM,9/25 - 9/27,2.9,51.0,41.0,1258.0,Obama +10,10.0,9/25/2012,9/27/2012
184,PPP (D),NM,9/7 - 9/9,2.9,53.0,42.0,1122.0,Obama +11,11.0,9/7/2012,9/9/2012
185,Albuquerque Journal*,NM,9/3 - 9/6,3.8,45.0,40.0,667.0,Obama +5,5.0,9/3/2012,9/6/2012
