,Pollster,State,Date,MoE,Obama (D),Romney (R),Sample,Spread,obama_spread,start_date,end_date
186,Rasmussen Reports,NM,8/21 - 8/21,4.5,52.0,38.0,500.0,Obama +14,14.0,8/21/2012,8/21/2012
187,PPP (D),NM,7/13 - 7/16,3.6,49.0,44.0,724.0,Obama +5,5.0,7/13/2012,7/16/2012
188,WeAskAmerica,NM,7/9 - 7/10,2.8,51.0,40.0,1295.0,Obama +11,11.0,7/9/2012,7/10/2012
189,PPP (D),NM,4/19 - 4/22,4.3,54.0,40.0,526.0,Obama +14,14.0,4/19/2012,4/22/2012
190,Rasmussen Reports,NM,4/3 - 4/3,4.5,52.0,36.0,500.0,Obama +16,16.0,4/3/2012,4/3/2012
191,Rasmussen Reports,NM,2/14 - 2/14,4.5,55.0,36.0,500.0,Obama +19,19.0,2/14/2012,2/14/2012
192,PPP (D),NM,12/10 - 12/12,4.4,53.0,38.0,500.0,Obama +15,15.0,12/10/2011,12/12/2011
193,PPP (D),NM,6/23 - 6/26,3.6,49.0,42.0,732.0,Obama +7,7.0,6/23/2011,6/26/2011
194,PPP (D),NM,2/4 - 2/6,4.2,53.0,37.0,545.0,Obama +16,16.0,2/4/2011,2/6/2011
195,SurveyUSA,NC,9/29 - 10/1,4.2,49.0,47.0,573.0,Obama +2,2.0,9/29/2012,10/1/2012
196,ARG,NC,9/28 - 9/30,4.0,46.0,50.0,600.0,Romney +4,-4.0,9/28/2012,9/30/2012
197,PPP (D),NC,9/27 - 9/30,3.1,48.0,48.0,981.0,Tie,0.0,9/27/2012,9/30/2012
198,NBC/WSJ/Marist,NC,9/23 - 9/25,3.1,48.0,46.0,1035.0,Obama +2,2.0,9/23/2012,9/25/2012
199,Civitas (R),NC,9/18 - 9/19,4.0,49.0,45.0,600.0,Obama +4,4.0,9/18/2012,9/19/2012
200,Purple Strategies,NC,9/15 - 9/19,4.0,48.0,46.0,600.0,Obama +2,2.0,9/15/2012,9/19/2012
201,Rasmussen Reports,NC,9/13 - 9/13,4.5,45.0,51.0,500.0,Romney +6,-6.0,9/13/2012,9/13/2012
202,High Point,NC,9/8 - 9/18,4.7,48.0,44.0,448.0,Obama +4,4.0,9/8/2012,9/18/2012
203,PPP (D),NC,9/7 - 9/9,3.0,49.0,48.0,1087.0,Obama +1,1.0,9/7/2012,9/9/2012
204,SurveyUSA/Civitas (R),NC,9/4 - 9/6,4.5,43.0,53.0,500.0,Romney +10,-10.0,9/4/2012,9/6/2012
205,PPP (D),NC,8/31 - 9/2,3.1,48.0,48.0,1012.0,Tie,0.0,8/31/2012,9/2/2012
206,Elon Univ./Charlotte Observer,NC,8/25 - 8/30,3.0,43.0,47.0,1089.0,Romney +4,-4.0,8/25/2012,8/30/2012
207,High Point/SurveyUSA,NC,8/26 - 8/30,4.3,43.0,46.0,543.0,Romney +3,-3.0,8/26/2012,8/30/2012
208,CNN/Time,NC,8/22 - 8/26,3.0,47.0,48.0,766.0,Romney +1,-1.0,8/22/2012,8/26/2012
209,High Point/SurveyUSA,NC,8/18 - 8/23,4.3,43.0,43.0,540.0,Tie,0.0,8/18/2012,8/23/2012
210,PPP (D),NC,8/2 - 8/5,3.4,49.0,46.0,813.0,Obama +3,3.0,8/2/2012,8/5/2012
211,Rasmussen Reports,NC,8/1 - 8/1,4.5,44.0,49.0,500.0,Romney +5,-5.0,8/1/2012,8/1/2012
212,Civitas (R),NC,7/16 - 7/18,4.0,48.0,49.0,600.0,Romney +1,-1.0,7/16/2012,7/18/2012
213,PPP (D),NC,7/5 - 7/8,3.5,47.0,46.0,775.0,Obama +1,1.0,7/5/2012,7/8/2012
214,Project New America/Myers (D),NC,7/1 - 7/8,4.4,48.0,49.0,500.0,Romney +1,-1.0,7/1/2012,7/8/2012
215,SurveyUSA/Civitas (R),NC,6/29 - 7/1,4.2,45.0,50.0,558.0,Romney +5,-5.0,6/29/2012,7/1/2012
216,NBC News/Marist,NC,6/24 - 6/25,3.1,46.0,44.0,1019.0,Obama +2,2.0,6/24/2012,6/25/2012
217,Rasmussen Reports,NC,6/25 - 6/25,4.5,44.0,47.0,500.0,Romney +3,-3.0,6/25/2012,6/25/2012
218,PPP (D),NC,6/7 - 6/10,3.4,46.0,48.0,810.0,Romney +2,-2.0,6/7/2012,6/10/2012
219,Civitas (R),NC,5/19 - 5/20,4.0,45.0,47.0,600.0,Romney +2,-2.0,5/19/2012,5/20/2012
220,SurveyUSA,NC,5/18 - 5/21,4.4,44.0,45.0,524.0,Romney +1,-1.0,5/18/2012,5/21/2012
221,Rasmussen Reports,NC,5/14 - 5/14,4.5,43.0,51.0,500.0,Romney +8,-8.0,5/14/2012,5/14/2012
222,PPP (D),NC,5/10 - 5/13,3.8,48.0,47.0,666.0,Obama +1,1.0,5/10/2012,5/13/2012
223,SurveyUSA,NC,4/26 - 4/30,2.5,47.0,43.0,1636.0,Obama +4,4.0,4/26/2012,4/30/2012
224,Rasmussen Reports,NC,4/10 - 4/10,4.5,44.0,46.0,500.0,Romney +2,-2.0,4/10/2012,4/10/2012
225,PPP (D),NC,4/4 - 4/7,3.1,49.0,44.0,975.0,Obama +5,5.0,4/4/2012,4/7/2012
226,PPP (D),NC,3/8 - 3/11,3.5,49.0,46.0,804.0,Obama +3,3.0,3/8/2012,3/11/2012
227,Civitas (R),NC,2/27 - 2/28,4.0,48.0,46.0,600.0,Obama +2,2.0,2/27/2012,2/28/2012
228,PPP (D),NC,2/3 - 2/5,3.0,47.0,46.0,1052.0,Obama +1,1.0,2/3/2012,2/5/2012
229,Civitas (R),NC,1/9 - 1/11,4.0,39.0,48.0,300.0,Romney +9,-9.0,1/9/2012,1/11/2012
230,PPP (D),NC,1/5 - 1/8,3.5,46.0,45.0,780.0,Obama +1,1.0,1/5/2012,1/8/2012
231,PPP (D),NC,12/1 - 12/4,3.3,46.0,46.0,865.0,Tie,0.0,12/1/2011,12/4/2011
232,PPP (D),NC,10/27 - 10/31,4.0,45.0,46.0,615.0,Romney +1,-1.0,10/27/2011,10/31/2011
233,PPP (D),NC,9/30 - 10/3,3.6,46.0,45.0,760.0,Obama +1,1.0,9/30/2011,10/3/2011
234,Civitas (R),NC,9/22 - 9/25,4.0,39.0,50.0,600.0,Romney +11,-11.0,9/22/2011,9/25/2011
235,Magellan Strategies (R),NC,9/7 - 9/8,3.2,45.0,43.0,923.0,Obama +2,2.0,9/7/2012,9/8/2012
236,PPP (D),NC,9/1 - 9/4,4.3,45.0,44.0,520.0,Obama +1,1.0,9/1/2011,9/4/2011
237,PPP (D),NC,8/4 - 8/7,3.5,46.0,43.0,780.0,Obama +3,3.0,8/4/2011,8/7/2011
238,PPP (D),NC,7/7 - 7/10,3.8,45.0,45.0,651.0,Tie,0.0,7/7/2011,7/10/2011
239,PPP (D),NC,6/8 - 6/11,4.1,45.0,44.0,563.0,Obama +1,1.0,6/8/2011,6/11/2011
240,PPP (D),NC,5/12 - 5/15,3.4,46.0,43.0,835.0,Obama +3,3.0,5/12/2011,5/15/2011
241,PPP (D),NC,4/14 - 4/17,4.4,47.0,44.0,507.0,Obama +3,3.0,4/14/2011,4/17/2011
242,PPP (D),NC,3/17 - 3/20,4.1,44.0,42.0,584.0,Obama +2,2.0,3/17/2011,3/20/2011
243,PPP (D),NC,2/16 - 2/21,3.8,47.0,44.0,650.0,Obama +3,3.0,2/16/2011,2/21/2011
244,PPP (D),NC,1/20 - 1/23,4.1,47.0,44.0,575.0,Obama +3,3.0,1/20/2011,1/23/2011
245,PPP (D),NC,12/17 - 12/19,4.3,46.0,43.0,520.0,Obama +3,3.0,12/17/2010,12/19/2010
246,PPP (D),NC,11/19 - 11/21,4.3,44.0,44.0,517.0,Tie,0.0,11/19/2010,11/21/2010
247,Rasmussen Reports,ND,7/10 - 7/11,5.0,36.0,51.0,400.0,Romney +15,-15.0,7/10/2012,7/11/2012
248,Mason-Dixon,ND,6/4 - 6/6,4.0,39.0,52.0,625.0,Romney +13,-13.0,6/4/2012,6/6/2012
249,Omaha World-Herald,NE,9/17 - 9/20,3.8,39.0,53.0,656.0,Romney +14,-14.0,9/17/2012,9/20/2012
250,Rasmussen Reports,NE,5/16 - 5/16,4.5,39.0,53.0,500.0,Romney +14,-14.0,5/16/2012,5/16/2012
251,PPP (D),NE,3/22 - 3/25,3.1,39.0,51.0,1028.0,Romney +12,-12.0,3/22/2012,3/25/2012
252,Rasmussen Reports,NE,3/5 - 3/5,4.5,35.0,52.0,500.0,Romney +17,-17.0,3/5/2012,3/5/2012
253,PPP (D),NE,9/30 - 10/2,3.6,38.0,51.0,739.0,Romney +13,-13.0,9/30/2011,10/2/2011
254,PPP (D),NE,1/26 - 1/27,3.1,37.0,49.0,977.0,Romney +12,-12.0,1/26/2011,1/27/2011
255,Quinnipiac,NY,9/4 - 9/9,2.5,62.0,34.0,1486.0,Obama +28,28.0,9/4/2012,9/9/2012
256,Siena,NY,8/14 - 8/19,3.8,62.0,33.0,671.0,Obama +29,29.0,8/14/2012,8/19/2012
257,Quinnipiac,NY,7/17 - 7/23,2.3,55.0,32.0,1779.0,Obama +23,23.0,7/17/2012,7/23/2012
258,Siena,NY,7/10 - 7/15,3.6,61.0,34.0,758.0,Obama +27,27.0,7/10/2012,7/15/2012
259,Siena,NY,6/3 - 6/6,3.4,59.0,35.0,807.0,Obama +24,24.0,6/3/2012,6/6/2012
260,Quinnipiac,NY,5/22 - 5/28,2.5,56.0,31.0,1504.0,Obama +25,25.0,5/22/2012,5/28/2012
261,Siena,NY,5/6 - 5/10,3.5,57.0,37.0,766.0,Obama +20,20.0,5/6/2012,5/10/2012
262,Marist,NY,4/10 - 4/12,4.0,57.0,35.0,632.0,Obama +22,22.0,4/10/2012,4/12/2012
263,Siena,NY,4/1 - 4/4,3.4,60.0,35.0,808.0,Obama +25,25.0,4/1/2012,4/4/2012
264,Quinnipiac,NY,3/28 - 4/2,2.5,56.0,33.0,1597.0,Obama +23,23.0,3/28/2012,4/2/2012
265,Siena,NY,2/26 - 2/29,3.4,60.0,34.0,808.0,Obama +26,26.0,2/26/2012,2/29/2012
266,SurveyUSA,NY,2/24 - 2/26,4.3,60.0,30.0,518.0,Obama +30,30.0,2/24/2012,2/26/2012
267,Quinnipiac,NY,2/8 - 2/13,2.8,52.0,35.0,1233.0,Obama +17,17.0,2/8/2012,2/13/2012
268,Siena,NY,1/29 - 2/1,3.4,63.0,31.0,807.0,Obama +32,32.0,1/29/2012,2/1/2012
269,Marist,NY,1/18 - 1/19,6.0,58.0,35.0,296.0,Obama +23,23.0,1/18/2012,1/19/2012
270,Siena,NY,11/8 - 11/13,3.5,59.0,34.0,803.0,Obama +25,25.0,11/8/2011,11/13/2011
271,Marist,NY,10/25 - 10/27,3.5,59.0,35.0,855.0,Obama +24,24.0,10/25/2011,10/27/2011
272,Siena,NY,10/10 - 10/12,3.5,55.0,37.0,800.0,Obama +18,18.0,10/10/2011,10/12/2011
273,Siena,NY,9/15 - 9/21,3.4,56.0,36.0,808.0,Obama +20,20.0,9/15/2011,9/21/2011
274,Siena,NY,8/9 - 8/14,3.1,55.0,37.0,1008.0,Obama +18,18.0,8/9/2011,8/14/2011
275,WPRI/Fleming,RI,9/26 - 9/29,4.4,57.0,33.0,501.0,Obama +24,24.0,9/26/2012,9/29/2012
276,PPP (D),RI,2/16 - 2/22,4.2,54.0,37.0,544.0,Obama +17,17.0,2/16/2012,2/22/2012
277,WeAskAmerica,NV,9/25 - 9/27,3.1,53.0,42.0,1078.0,Obama +11,11.0,9/25/2012,9/27/2012
278,NBC/WSJ/Marist,NV,9/23 - 9/25,3.1,49.0,47.0,984.0,Obama +2,2.0,9/23/2012,9/25/2012
279,ARG,NV,9/20 - 9/23,4.0,51.0,44.0,600.0,Obama +7,7.0,9/20/2012,9/23/2012
280,Retail Assoc. of Nevada/POS (R),NV,9/19 - 9/20,4.4,46.0,46.0,500.0,Tie,0.0,9/19/2012,9/20/2012
281,PPP (D),NV,9/18 - 9/20,4.4,52.0,43.0,501.0,Obama +9,9.0,9/18/2012,9/20/2012
282,Rasmussen Reports,NV,9/18 - 9/18,4.5,47.0,45.0,500.0,Obama +2,2.0,9/18/2012,9/18/2012
283,CNN/Opinion Research,NV,9/14 - 9/18,3.5,49.0,46.0,741.0,Obama +3,3.0,9/14/2012,9/18/2012
284,PPP (D),NV,8/23 - 8/26,3.4,50.0,47.0,831.0,Obama +3,3.0,8/23/2012,8/26/2012
285,LVRJ/SurveyUSA,NV,8/16 - 8/21,3.4,47.0,45.0,869.0,Obama +2,2.0,8/16/2012,8/21/2012
286,Rasmussen Reports,NV,7/24 - 7/24,4.5,50.0,45.0,500.0,Obama +5,5.0,7/24/2012,7/24/2012
287,WeAskAmerica*,NV,7/17 - 7/18,3.0,49.0,43.0,1092.0,Obama +6,6.0,7/17/2012,7/18/2012
288,AFP/Magellan (R),NV,7/16 - 7/17,3.8,50.0,46.0,665.0,Obama +4,4.0,7/16/2012,7/17/2012
289,PPP (D),NV,6/7 - 6/10,4.4,48.0,42.0,500.0,Obama +6,6.0,6/7/2012,6/10/2012
290,NBC News/Marist,NV,5/22 - 5/24,3.0,48.0,46.0,1040.0,Obama +2,2.0,5/22/2012,5/24/2012
291,Rasmussen Reports,NV,4/30 - 4/30,4.5,52.0,44.0,500.0,Obama +8,8.0,4/30/2012,4/30/2012
292,PPP (D),NV,3/29 - 4/1,4.2,51.0,43.0,553.0,Obama +8,8.0,3/29/2012,4/1/2012
293,Rasmussen Reports,NV,3/19 - 3/19,4.5,50.0,44.0,500.0,Obama +6,6.0,3/19/2012,3/19/2012
294,Las Vegas Review-Journal,NV,12/12 - 12/20,4.0,46.0,40.0,600.0,Obama +6,6.0,12/12/2011,12/20/2011
295,PPP (D),NV,10/20 - 10/23,4.4,46.0,46.0,500.0,Tie,0.0,10/20/2011,10/23/2011
296,PPP (D),NV,7/28 - 7/31,4.0,47.0,46.0,601.0,Obama +1,1.0,7/28/2011,7/31/2011
297,PPP (D),NV,4/21 - 4/24,4.4,43.0,46.0,491.0,Romney +3,-3.0,4/21/2011,4/24/2011
298,PPP (D),NV,1/3 - 1/5,3.2,47.0,46.0,932.0,Obama +1,1.0,1/3/2011,1/5/2011
299,WeAskAmerica,CO,9/25 - 9/27,2.8,49.0,46.0,1273.0,Obama +3,3.0,9/25/2012,9/27/2012
300,Gravis Marketing,CO,9/21 - 9/22,3.4,50.0,46.0,765.0,Obama +4,4.0,9/21/2012,9/22/2012
301,PPP (D),CO,9/20 - 9/23,3.2,51.0,45.0,940.0,Obama +6,6.0,9/20/2012,9/23/2012
302,Purple Strategies,CO,9/15 - 9/19,4.0,48.0,45.0,600.0,Obama +3,3.0,9/15/2012,9/19/2012
303,Rasmussen Reports,CO,9/17 - 9/17,4.5,45.0,47.0,500.0,Romney +2,-2.0,9/17/2012,9/17/2012
304,NBC/WSJ/Marist,CO,9/16 - 9/18,3.1,50.0,45.0,971.0,Obama +5,5.0,9/16/2012,9/18/2012
305,CBS/NYT/Quinnipiac,CO,9/11 - 9/17,3.0,48.0,47.0,1497.0,Obama +1,1.0,9/11/2012,9/17/2012
306,ARG,CO,9/10 - 9/12,4.0,49.0,47.0,600.0,Obama +2,2.0,9/10/2012,9/12/2012
307,Denver Post/SurveyUSA,CO,9/9 - 9/12,4.0,47.0,46.0,615.0,Obama +1,1.0,9/9/2012,9/12/2012
308,Project New America/Keating (D),CO,9/10 - 9/11,4.4,49.0,44.0,503.0,Obama +5,5.0,9/10/2012,9/11/2012
309,PPP (D),CO,8/31 - 9/2,3.1,49.0,46.0,1001.0,Obama +3,3.0,8/31/2012,9/2/2012
310,Keating (D),CO,8/21 - 8/22,4.4,48.0,44.0,500.0,Obama +4,4.0,8/21/2012,8/22/2012
311,Purple Strategies,CO,8/13 - 8/14,4.0,49.0,46.0,600.0,Obama +3,3.0,8/13/2012,8/14/2012
312,Gravis Marketing,CO,8/9 - 8/9,4.0,45.0,46.0,607.0,Romney +1,-1.0,8/9/2012,8/9/2012
313,Rasmussen Reports,CO,8/6 - 8/6,4.5,47.0,47.0,500.0,Tie,0.0,8/6/2012,8/6/2012
314,CBS/NYT/Quinnipiac,CO,7/31 - 8/6,3.0,45.0,50.0,1463.0,Romney +5,-5.0,7/31/2012,8/6/2012
315,PPP (D),CO,8/2 - 8/5,3.5,49.0,43.0,779.0,Obama +6,6.0,8/2/2012,8/5/2012
316,Purple Strategies,CO,7/9 - 7/13,4.0,45.0,44.0,600.0,Obama +1,1.0,7/9/2012,7/13/2012
317,WeAskAmerica,CO,6/25 - 6/25,3.0,47.0,43.0,1083.0,Obama +4,4.0,6/25/2012,6/25/2012
318,PPP (D),CO,6/14 - 6/17,3.5,49.0,42.0,799.0,Obama +7,7.0,6/14/2012,6/17/2012
319,Rasmussen Reports,CO,6/6 - 6/6,4.5,45.0,45.0,500.0,Tie,0.0,6/6/2012,6/6/2012
320,Purple Strategies,CO,5/31 - 6/5,4.0,48.0,46.0,600.0,Obama +2,2.0,5/31/2012,6/5/2012
321,NBC News/Marist,CO,5/22 - 5/24,3.0,46.0,45.0,1030.0,Obama +1,1.0,5/22/2012,5/24/2012
322,Project New America/Keating (D),CO,5/21 - 5/24,4.0,48.0,44.0,601.0,Obama +4,4.0,5/21/2012,5/24/2012
323,Purple Strategies,CO,4/19 - 4/23,4.1,47.0,47.0,600.0,Tie,0.0,4/19/2012,4/23/2012
324,PPP (D),CO,4/5 - 4/7,4.2,53.0,40.0,542.0,Obama +13,13.0,4/5/2012,4/7/2012
325,PPP (D),CO,12/1 - 12/4,3.5,47.0,45.0,793.0,Obama +2,2.0,12/1/2011,12/4/2011
326,PPP (D),CO,8/4 - 8/7,4.3,48.0,41.0,510.0,Obama +7,7.0,8/4/2011,8/7/2011
327,PPP (D),CO,2/4 - 2/6,4.3,47.0,41.0,517.0,Obama +6,6.0,2/4/2011,2/6/2011
328,PPIC,CA,9/9 - 9/16,4.4,53.0,39.0,995.0,Obama +14,14.0,9/9/2012,9/16/2012
329,Field,CA,9/6 - 9/17,3.4,58.0,34.0,891.0,Obama +24,24.0,9/6/2012,9/17/2012
330,SurveyUSA,CA,9/9 - 9/11,4.3,57.0,35.0,524.0,Obama +22,22.0,9/9/2012,9/11/2012
331,Field,CA,6/21 - 7/2,3.4,55.0,37.0,848.0,Obama +18,18.0,6/21/2012,7/2/2012
332,SurveyUSA,CA,5/27 - 5/29,2.5,57.0,36.0,1575.0,Obama +21,21.0,5/27/2012,5/29/2012
333,Field,CA,5/21 - 5/29,3.8,48.0,32.0,710.0,Obama +16,16.0,5/21/2012,5/29/2012
334,LA Times/USC,CA,5/17 - 5/21,3.5,56.0,37.0,1002.0,Obama +19,19.0,5/17/2012,5/21/2012
335,PPIC,CA,5/14 - 5/20,4.2,50.0,39.0,894.0,Obama +11,11.0,5/14/2012,5/20/2012
336,SurveyUSA,CA,3/29 - 4/2,2.2,62.0,31.0,1995.0,Obama +31,31.0,3/29/2012,4/2/2012
337,LA Times/USC,CA,3/14 - 3/19,2.9,57.0,36.0,1500.0,Obama +21,21.0,3/14/2012,3/19/2012
338,Rasmussen Reports,CA,2/8 - 2/16,4.5,57.0,35.0,500.0,Obama +22,22.0,2/8/2012,2/16/2012
339,Field,CA,2/2 - 2/18,3.1,55.0,35.0,1003.0,Obama +20,20.0,2/2/2012,2/18/2012
340,SurveyUSA,CA,2/8 - 2/9,2.1,60.0,31.0,2088.0,Obama +29,29.0,2/8/2012,2/9/2012
341,Field,CA,11/15 - 11/27,3.1,50.0,40.0,1000.0,Obama +10,10.0,11/15/2011,11/27/2011
342,PPP (D),CA,11/10 - 11/13,4.4,57.0,36.0,500.0,Obama +21,21.0,11/10/2011,11/13/2011
343,SurveyUSA,CA,11/10 - 11/10,3.5,50.0,39.0,800.0,Obama +11,11.0,11/10/2011,11/10/2011
344,LA Times/USC,CA,10/30 - 11/9,2.5,52.0,35.0,1500.0,Obama +17,17.0,10/30/2011,11/9/2011
345,Field,CA,9/1 - 9/12,3.2,51.0,38.0,1001.0,Obama +13,13.0,9/1/2011,9/12/2011
346,LA Times/USC,CA,8/17 - 8/28,,54.0,35.0,1408.0,Obama +19,19.0,8/17/2011,8/28/2011
347,PPP (D),CA,1/28 - 1/30,3.3,56.0,36.0,892.0,Obama +20,20.0,1/28/2011,1/30/2011
348,InsiderAdvantage,GA,9/18 - 9/18,4.5,35.0,56.0,483.0,Romney +21,-21.0,9/18/2012,9/18/2012
349,SurveyUSA,GA,7/29 - 7/29,2.9,42.0,50.0,1169.0,Romney +8,-8.0,7/29/2012,7/29/2012
350,InsiderAdvantage,GA,7/24 - 7/24,4.0,41.0,50.0,591.0,Romney +9,-9.0,7/24/2012,7/24/2012
351,InsiderAdvantage,GA,5/22 - 5/22,5.0,40.0,52.0,438.0,Romney +12,-12.0,5/22/2012,5/22/2012
352,Landmark/Rosetta Stone,GA,5/10 - 5/10,4.0,40.0,51.0,600.0,Romney +11,-11.0,5/10/2012,5/10/2012
353,SurveyUSA,GA,2/23 - 2/26,2.9,42.0,49.0,1156.0,Romney +7,-7.0,2/23/2012,2/26/2012
354,SurveyUSA,GA,2/1 - 2/2,3.0,43.0,51.0,1144.0,Romney +8,-8.0,2/1/2012,2/2/2012
355,Mason-Dixon,GA,12/12 - 12/14,4.0,38.0,55.0,625.0,Romney +17,-17.0,12/12/2011,12/14/2011
356,SurveyUSA,GA,12/6 - 12/7,2.9,42.0,49.0,1176.0,Romney +7,-7.0,12/6/2011,12/7/2011
357,PPP (D),GA,3/31 - 4/3,3.5,43.0,46.0,790.0,Romney +3,-3.0,3/31/2012,4/3/2012
358,PPP (D),CT,9/24 - 9/26,3.5,54.0,41.0,801.0,Obama +13,13.0,9/24/2012,9/26/2012
359,Hartford Courant/UConn,CT,9/11 - 9/16,4.4,53.0,32.0,508.0,Obama +21,21.0,9/11/2012,9/16/2012
360,Quinnipiac,CT,8/22 - 8/26,2.6,52.0,45.0,1472.0,Obama +7,7.0,8/22/2012,8/26/2012
361,PPP (D),CT,8/22 - 8/23,3.3,53.0,40.0,881.0,Obama +13,13.0,8/22/2012,8/23/2012
362,Rasmussen Reports,CT,8/21 - 8/21,4.5,51.0,43.0,500.0,Obama +8,8.0,8/21/2012,8/21/2012
363,PPP (D),CT,7/26 - 7/29,3.5,51.0,43.0,771.0,Obama +8,8.0,7/26/2012,7/29/2012
364,Quinnipiac,CT,5/29 - 6/3,2.6,50.0,38.0,1408.0,Obama +12,12.0,5/29/2012,6/3/2012
365,Quinnipiac,CT,3/14 - 3/19,2.4,53.0,37.0,1622.0,Obama +16,16.0,3/14/2012,3/19/2012
366,PPP (D),CT,9/22 - 9/25,4.0,47.0,45.0,592.0,Obama +2,2.0,9/22/2011,9/25/2011
367,Quinnipiac,CT,9/8 - 9/13,2.8,49.0,36.0,1230.0,Obama +13,13.0,9/8/2011,9/13/2011
368,Sooner Poll,OK,7/26 - 8/14,4.4,29.0,58.0,495.0,Romney +29,-29.0,7/26/2012,8/14/2012
369,Sooner Poll,OK,5/7 - 5/10,4.4,27.0,62.0,504.0,Romney +35,-35.0,5/7/2012,5/10/2012
370,PPP (D),OH,9/27 - 9/30,3.3,49.0,45.0,897.0,Obama +4,4.0,9/27/2012,9/30/2012
371,Columbus Dispatch*,OH,9/19 - 9/29,2.2,51.0,42.0,1662.0,Obama +9,9.0,9/19/2012,9/29/2012
